,author_name,personal_rating,review_date,review_text,review_acquisition_date,google_url,biz_id
16,潘湘羚,5,1 個月前,"停車場：旁邊及對面都有汽機車停車場！

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlDZw==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
17,盧媽,4,1 個月前,"蔬食料理不錯吃。但位子有點擠。

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlDZw==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
18,RenChing Chang,5,1 個月前,"距離北投捷運站2號出口走路不用2分鐘，飯麵、炸物選擇多樣，出餐很快，臭豆腐湯麵和叻沙麵都好好吃，炸薯條是整塊鬆軟的馬鈴薯
價格也好親民，舒適的空間很適合聚餐！

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlDZw==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
19,Hylian,5,1 個月前,"東西很好吃，服務態度也很親切

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlDZw==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
20,鄧壹仁,3,1 個月前,,2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlGQQ==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
21,陳安琪,5,1 個月前,"北投站2號出口旁，東西好吃、也很平價

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlGQQ==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
22,吳宗達,4,1 個月前,,2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlGQQ==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
23,郝雲麒,3,1 個月前,,2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlGQQ==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
24,林怡婷,5,1 個月前,"好吃又美味！上菜快速！

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlGQQ==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
25,顏一加,5,1 個月前,"食材新鮮有特色、上菜快速，特別推薦：義式蔬菜湯、涼拌鮮蔬、炸杏鮑菇G排，帶小朋友也很方便，我下次還會再來

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlGQQ==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
26,Yu Ha,5,1 個月前,"好吃

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlGQQ==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
27,林曉珍,1,1 個月前,"猴頭菇鐵板麵的黑胡椒辣到我沒辦法把麵吃完，其他餐點也不太行，這麼多好評讓人不解，還是素食者覺得很好吃？  
另外大家小心，點炸豆腐送來的會是炸臭豆腐喔。

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlGQQ==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
28,YI Ling Lin,2,1 個月前,"來這裡吃覺得有點失望，點了一盤$55的炸豆腐送來的卻是一盤臭豆腐，筆管麵的味道普通，猴菇鐵板麵加黑胡椒醬有一點太辣了。

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlGQQ==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
29,Wentzu Lin,4,1 個月前,,2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlGQQ==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
30,鄭琳穎,4,2 個月前,,2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlIZw==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
31,定國蔡,5,2 個月前,"美味好吃的蔬食

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlIZw==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
32,Ciao一波,5,2 個月前,"養身健康無負擔  
重點是又好吃  
讚

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlIZw==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
33,Sam Cheng,1,2 個月前,"餐廳有水溝味

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlIZw==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
34,黃珍宜,5,2 個月前,"很有氛圍服務很棒

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlIZw==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
35,嘿嘿嘿,5,2 個月前,,2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlIZw==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
36,莊子樂,5,2 個月前,"今天點了瑪格麗特披薩 跟番茄麵，菜單寫的是義式料理，可實際是偏向台式的料理，蠻有趣的，披薩料多起司多，吃得飽

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlIZw==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
37,李珍瑋,5,2 個月前,"炒泡麵和披薩好吃

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlIZw==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
38,Corey Wang,4,2 個月前,,2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlIZw==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
39,H.B Lin,5,2 個月前,,2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlIZw==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
40,煒凡,2,2 個月前,"好吃，美味。因為評論送甜點。

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlLQQ==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
41,huang阿云,2,2 個月前,"評論送甜點或香草茶

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlLQQ==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
42,冰釀竹葉青,5,2 個月前,"可口，美味，跳脫素食的呆板感受，給了素食新的面貌

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlLQQ==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
43,golgi kuo,5,2 個月前,,2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlLQQ==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
44,潘睿茂,5,2 個月前,"餐點好吃 ！

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlLQQ==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
45,莊茜喻,4,2 個月前,"這種健康的食物我真的不懂

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlLQQ==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
46,柚子靜,1,2 個月前,"假日人潮比較多，我可以理解忙錄程度，但出餐速度就是讓我等等等，一開始也沒附水，我自己去跟店員要，之後我到餐點到了，然後就沒再來過了，我的番茄義大利麵都吃完了～過了20分鐘（我老公餐點仍沒來，我去催，再過5分鐘後終於來了，然後我說甜點一起上吧！然後冰淇淋跟果汁上了，布朗尼就又等了快半小時，跟他提醒兩三次，只說知道，也沒再回應
這態度我真的很傻眼，然後我老公去櫃檯想問人蛋糕的事，卻等了2-3分鐘都沒人理他，店員就這樣走來走去，都不理人…..，索信不要了，我覺得如果又要做外送忙不過來就不要一直接客人進來，讓人一直在裡面等待….真的很誇張

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlLQQ==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
47,余念芯,3,2 個月前,"好吃！

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlLQQ==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
48,Kate Chen,4,2 個月前,"大拼盤三個人吃份量充足，口味也不錯，附近就有二個停車場也離捷運站很近，交通算是蠻方便的

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlLQQ==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
49,Young Chang,5,2 個月前,"鄰近捷運站，由餐廳的窗看向來往的車潮，得到一種暫時逃離喧鬧的平靜。  
  
出餐快速，餐點美味  
今天點了青醬義大利麵  
好吃

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlLQQ==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
50,HANK CHEN,4,3 個月前,"主食：  
鮮蔬炒泡麵  
猴菇排鐵板門（黑胡椒醬）  
小點心：  
杏鮑G排  
豆包酥排

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlNZw==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
51,TZU-YU CHEN,4,3 個月前,"氛圍很好 環境很漂亮  
餐點是比較健康取向，口味清淡  
可惜蕈菇燉飯上沒有任何蔬菜

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlNZw==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
52,Peter Pan,2,3 個月前,"主餐沒什麼味道

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlNZw==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
53,Mike Hsu,5,3 個月前,"餐點很好吃，推薦夏威夷披薩

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlNZw==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
54,Dorje CHANG,5,3 個月前,,2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlNZw==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
55,Kuan Kuan,4,3 個月前,"用餐環境還可以  
餐點也還行不難吃

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlNZw==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
56,mita para,5,3 個月前,"地點很好在捷運站旁，開車可以停在隔壁的付費停車場。餐點份量很多，多$100可以加點甜點飲料套餐，cp值高，餐點選項多，值得推薦。  
（評論有附甜點 ）

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlNZw==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
57,陳永耀,4,3 個月前,"素食餐點：好吃 經濟又實惠

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlNZw==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
58,吳淇羚,5,3 個月前,"吃素的好選擇，捷運附近很方便，出菜快速，整體價格不貴很可以，套餐加100，選了沙拉跟湯，沙拉裡有多樣水果，覺得CP值高

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlNZw==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
59,Irene IRE,4,3 個月前,,2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlNZw==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
60,妞妞,1,3 個月前,"這家餐廳態度不是很好耶⋯一進門一直到找位子坐下來，都沒人來招呼  
餐點不是很好吃，跟他們說麻煩可以上甜點了。理都不理人⋯請問這是做生意的態度嗎？

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlQQQ==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
61,Shenho Chan,5,3 個月前,,2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlQQQ==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
62,01 hsu,1,3 個月前,"評論有送飲料  
  
奶油野菇花椰菜義大利麵 $160 加一成服務費  
吃起來很像麵掉進玉米濃湯過一陣子才發現再撈起來，麵體軟爛、味道不佳  
  
一直聽到服務人員在被罵

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlQQQ==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
