,file_name_1,category_new
351,351,異國料理
352,352,異國料理
353,353,異國料理
354,354,異國料理
355,355,異國料理
358,358,異國料理
359,359,異國料理
362,362,早午餐
363,363,異國料理
364,364,異國料理
365,365,素食
366,366,台灣小吃/熱炒店
367,367,素食
369,369,台灣小吃/熱炒店
370,370,中式
375,375,日式
377,377,異國料理
378,378,台灣小吃/熱炒店
379,379,中式
380,380,台灣小吃/熱炒店
381,381,台灣小吃/熱炒店
382,382,早午餐
383,383,素食
385,385,中式
386,386,中式
388,388,台灣小吃/熱炒店
390,390,南洋
391,391,台灣小吃/熱炒店
392,392,南洋
393,393,南洋
394,394,南洋
395,395,南洋
396,396,南洋
397,397,南洋
398,398,南洋
399,399,南洋
400,400,南洋
402,402,南洋
403,403,南洋
404,404,南洋
405,405,南洋
406,406,異國料理
407,407,南洋
408,408,南洋
409,409,台灣小吃/熱炒店
410,410,南洋
411,411,南洋
412,412,南洋
413,413,南洋
414,414,南洋
415,415,南洋
416,416,南洋
417,417,南洋
418,418,南洋
419,419,南洋
421,421,南洋
422,422,南洋
423,423,南洋
424,424,南洋
426,426,素食
427,427,南洋
428,428,台灣小吃/熱炒店
429,429,素食
431,431,異國料理
432,432,中式
433,433,南洋
434,434,台灣小吃/熱炒店
435,435,台灣小吃/熱炒店
436,436,台灣小吃/熱炒店
437,437,中式
438,438,中式
439,439,台灣小吃/熱炒店
440,440,中式
441,441,早午餐
442,442,中式
443,443,台灣小吃/熱炒店
444,444,台灣小吃/熱炒店
445,445,港式
447,447,咖啡甜點
448,448,中式
450,450,中式
451,451,中式
452,452,港式
453,453,中式
455,455,中式
457,457,港式
458,458,中式
459,459,中式
461,461,中式
462,462,中式
464,464,中式
466,466,日式
471,471,台灣小吃/熱炒店
473,473,台灣小吃/熱炒店
474,474,早午餐
477,477,台灣小吃/熱炒店
478,478,早午餐
483,483,台灣小吃/熱炒店
484,484,南洋
486,486,南洋
487,487,南洋
489,489,南洋
490,490,南洋
491,491,南洋
492,492,南洋
494,494,南洋
496,496,南洋
497,497,南洋
498,498,南洋
499,499,南洋
500,500,咖啡甜點
501,501,南洋
503,503,南洋
505,505,南洋
506,506,南洋
507,507,南洋
508,508,南洋
509,509,南洋
510,510,南洋
511,511,南洋
512,512,中式
514,514,南洋
515,515,中式
516,516,南洋
517,517,火鍋
518,518,南洋
519,519,南洋
520,520,南洋
521,521,南洋
522,522,南洋
523,523,台灣小吃/熱炒店
524,524,南洋
525,525,南洋
526,526,南洋
527,527,南洋
528,528,南洋
529,529,南洋
531,531,中式
533,533,意式
534,534,南洋
535,535,南洋
537,537,南洋
538,538,南洋
539,539,南洋
541,541,素食
543,543,南洋
544,544,台灣小吃/熱炒店
546,546,日式
548,548,素食
549,549,台灣小吃/熱炒店
551,551,台灣小吃/熱炒店
553,553,台灣小吃/熱炒店
554,554,酒吧/餐酒館
558,558,酒吧/餐酒館
559,559,酒吧/餐酒館
561,561,咖啡甜點
563,563,中式
564,564,異國料理
565,565,中式
567,567,酒吧/餐酒館
572,572,意式
574,574,美式
577,577,中式
579,579,台灣小吃/熱炒店
581,581,意式
582,582,美式
584,584,中式
586,586,異國料理
588,588,異國料理
591,591,咖啡甜點
593,593,酒吧/餐酒館
594,594,咖啡甜點
595,595,意式
597,597,台灣小吃/熱炒店
599,599,異國料理
600,600,意式
601,601,咖啡甜點
602,602,咖啡甜點
603,603,咖啡甜點
604,604,咖啡甜點
605,605,咖啡甜點
606,606,咖啡甜點
607,607,咖啡甜點
608,608,咖啡甜點
609,609,咖啡甜點
610,610,咖啡甜點
613,613,咖啡甜點
614,614,咖啡甜點
616,616,咖啡甜點
617,617,咖啡甜點
618,618,咖啡甜點
619,619,咖啡甜點
620,620,咖啡甜點
621,621,咖啡甜點
622,622,咖啡甜點
623,623,咖啡甜點
624,624,咖啡甜點
625,625,咖啡甜點
626,626,咖啡甜點
627,627,咖啡甜點
628,628,咖啡甜點
629,629,咖啡甜點
630,630,咖啡甜點
631,631,咖啡甜點
632,632,咖啡甜點
633,633,咖啡甜點
634,634,咖啡甜點
635,635,咖啡甜點
636,636,咖啡甜點
637,637,咖啡甜點
639,639,咖啡甜點
640,640,咖啡甜點
641,641,早午餐
642,642,咖啡甜點
643,643,咖啡甜點
644,644,意式
647,647,咖啡甜點
648,648,咖啡甜點
649,649,台灣小吃/熱炒店
650,650,台灣小吃/熱炒店
651,651,台灣小吃/熱炒店
652,652,台灣小吃/熱炒店
653,653,台灣小吃/熱炒店
654,654,台灣小吃/熱炒店
655,655,台灣小吃/熱炒店
656,656,台灣小吃/熱炒店
657,657,台灣小吃/熱炒店
658,658,台灣小吃/熱炒店
661,661,台灣小吃/熱炒店
662,662,台灣小吃/熱炒店
663,663,台灣小吃/熱炒店
665,665,台灣小吃/熱炒店
666,666,台灣小吃/熱炒店
667,667,台灣小吃/熱炒店
669,669,中式
671,671,台灣小吃/熱炒店
672,672,台灣小吃/熱炒店
673,673,台灣小吃/熱炒店
674,674,台灣小吃/熱炒店
676,676,台灣小吃/熱炒店
680,680,台灣小吃/熱炒店
681,681,台灣小吃/熱炒店
683,683,中式
684,684,台灣小吃/熱炒店
685,685,台灣小吃/熱炒店
686,686,台灣小吃/熱炒店
687,687,中式
688,688,台灣小吃/熱炒店
689,689,中式
690,690,台灣小吃/熱炒店
691,691,台灣小吃/熱炒店
692,692,台灣小吃/熱炒店
695,695,台灣小吃/熱炒店
699,699,台灣小吃/熱炒店
700,700,台灣小吃/熱炒店
701,701,台灣小吃/熱炒店
702,702,日式
703,703,中式
704,704,素食
705,705,火鍋
706,706,台灣小吃/熱炒店
707,707,港式
709,709,中式
710,710,台灣小吃/熱炒店
711,711,台灣小吃/熱炒店
712,712,中式
714,714,早午餐
716,716,早午餐
717,717,早午餐
718,718,早午餐
719,719,早午餐
722,722,早午餐
723,723,早午餐
724,724,咖啡甜點
725,725,早午餐
726,726,中式
728,728,早午餐
729,729,早午餐
730,730,早午餐
731,731,早午餐
732,732,早午餐
733,733,早午餐
734,734,早午餐
735,735,早午餐
736,736,早午餐
737,737,早午餐
738,738,早午餐
739,739,早午餐
741,741,早午餐
742,742,早午餐
743,743,早午餐
744,744,早午餐
745,745,早午餐
746,746,咖啡甜點
747,747,台灣小吃/熱炒店
750,750,咖啡甜點
752,752,咖啡甜點
753,753,咖啡甜點
754,754,咖啡甜點
755,755,咖啡甜點
757,757,咖啡甜點
758,758,咖啡甜點
759,759,咖啡甜點
760,760,咖啡甜點
761,761,咖啡甜點
762,762,咖啡甜點
763,763,台灣小吃/熱炒店
767,767,咖啡甜點
768,768,咖啡甜點
769,769,異國料理
771,771,咖啡甜點
773,773,台灣小吃/熱炒店
774,774,咖啡甜點
780,780,咖啡甜點
781,781,日式
782,782,台灣小吃/熱炒店
784,784,港式
785,785,台灣小吃/熱炒店
786,786,日式
787,787,日式
788,788,日式
789,789,異國料理
790,790,日式
791,791,日式
793,793,日式
794,794,台灣小吃/熱炒店
795,795,日式
797,797,日式
798,798,台灣小吃/熱炒店
799,799,日式
800,800,台灣小吃/熱炒店
801,801,台灣小吃/熱炒店
802,802,台灣小吃/熱炒店
804,804,早午餐
805,805,中式
806,806,台灣小吃/熱炒店
807,807,台灣小吃/熱炒店
808,808,台灣小吃/熱炒店
810,810,日式
812,812,日式
813,813,異國料理
814,814,日式
815,815,日式
816,816,台灣小吃/熱炒店
818,818,台灣小吃/熱炒店
819,819,台灣小吃/熱炒店
820,820,日式
821,821,台灣小吃/熱炒店
822,822,日式
824,824,台灣小吃/熱炒店
825,825,台灣小吃/熱炒店
826,826,中式
829,829,台灣小吃/熱炒店
830,830,台灣小吃/熱炒店
831,831,美式
832,832,美式
833,833,美式
834,834,美式
835,835,美式
836,836,美式
837,837,美式
838,838,美式
839,839,美式
840,840,美式
841,841,美式
842,842,美式
843,843,美式
844,844,美式
845,845,美式
846,846,美式
847,847,美式
848,848,美式
849,849,美式
850,850,美式
851,851,美式
852,852,美式
853,853,美式
855,855,美式
856,856,美式
857,857,美式
858,858,美式
859,859,美式
861,861,美式
862,862,美式
863,863,美式
864,864,美式
865,865,美式
866,866,意式
867,867,日式
868,868,美式
869,869,美式
870,870,美式
871,871,美式
873,873,美式
874,874,美式
875,875,異國料理
877,877,美式
878,878,美式
879,879,日式
881,881,素食
882,882,日式
885,885,日式
887,887,早午餐
889,889,中式
890,890,日式
891,891,火鍋
892,892,火鍋
894,894,火鍋
896,896,火鍋
897,897,台灣小吃/熱炒店
900,900,台灣小吃/熱炒店
901,901,日式
903,903,日式
904,904,日式
905,905,日式
906,906,日式
907,907,日式
909,909,日式
912,912,日式
914,914,日式
917,917,中式
918,918,日式
919,919,日式
921,921,日式
922,922,日式
924,924,日式
926,926,日式
927,927,日式
929,929,台灣小吃/熱炒店
930,930,日式
933,933,咖啡甜點
934,934,異國料理
935,935,咖啡甜點
936,936,異國料理
937,937,異國料理
938,938,異國料理
941,941,咖啡甜點
942,942,咖啡甜點
943,943,意式
944,944,意式
945,945,意式
946,946,意式
947,947,異國料理
948,948,異國料理
949,949,意式
950,950,早午餐
951,951,意式
952,952,台灣小吃/熱炒店
954,954,意式
955,955,早午餐
956,956,意式
958,958,咖啡甜點
959,959,台灣小吃/熱炒店
960,960,早午餐
961,961,意式
962,962,異國料理
963,963,早午餐
964,964,異國料理
965,965,咖啡甜點
967,967,咖啡甜點
969,969,咖啡甜點
970,970,中式
971,971,中式
972,972,中式
973,973,台灣小吃/熱炒店
974,974,早午餐
975,975,中式
977,977,中式
978,978,中式
979,979,中式
980,980,中式
981,981,中式
982,982,中式
983,983,中式
984,984,中式
985,985,中式
986,986,早午餐
988,988,中式
989,989,中式
990,990,中式
991,991,中式
994,994,中式
996,996,中式
997,997,台灣小吃/熱炒店
998,998,早午餐
999,999,中式
1001,1001,中式
1002,1002,台灣小吃/熱炒店
1003,1003,中式
1004,1004,早午餐
1005,1005,中式
1006,1006,台灣小吃/熱炒店
1007,1007,中式
1008,1008,台灣小吃/熱炒店
1010,1010,台灣小吃/熱炒店
1012,1012,台灣小吃/熱炒店
1014,1014,中式
1015,1015,台灣小吃/熱炒店
1016,1016,台灣小吃/熱炒店
1017,1017,台灣小吃/熱炒店
1018,1018,台灣小吃/熱炒店
1020,1020,台灣小吃/熱炒店
1021,1021,早午餐
1022,1022,台灣小吃/熱炒店
1025,1025,台灣小吃/熱炒店
1026,1026,中式
1028,1028,台灣小吃/熱炒店
1029,1029,韓式
1030,1030,韓式
1032,1032,早午餐
1033,1033,台灣小吃/熱炒店
1034,1034,台灣小吃/熱炒店
1035,1035,台灣小吃/熱炒店
1036,1036,異國料理
1037,1037,台灣小吃/熱炒店
1038,1038,異國料理
1039,1039,異國料理
1041,1041,異國料理
1042,1042,美式
1044,1044,異國料理
1046,1046,異國料理
1048,1048,異國料理
1049,1049,美式
1050,1050,意式
1053,1053,異國料理
1054,1054,異國料理
1055,1055,異國料理
1057,1057,意式
1058,1058,異國料理
1060,1060,異國料理
1061,1061,美式
1064,1064,異國料理
1065,1065,素食
1066,1066,酒吧/餐酒館
1068,1068,日式
1069,1069,素食
1070,1070,異國料理
1071,1071,火鍋
1073,1073,意式
1074,1074,素食
1078,1078,台灣小吃/熱炒店
1079,1079,異國料理
1081,1081,酒吧/餐酒館
1082,1082,南洋
1083,1083,異國料理
1085,1085,異國料理
1086,1086,日式
1087,1087,台灣小吃/熱炒店
1088,1088,台灣小吃/熱炒店
1089,1089,日式
1090,1090,咖啡甜點
1091,1091,台灣小吃/熱炒店
1092,1092,日式
1094,1094,南洋
1096,1096,港式
1098,1098,台灣小吃/熱炒店
1100,1100,中式
1103,1103,早午餐
1104,1104,南洋
1105,1105,南洋
1106,1106,南洋
1107,1107,台灣小吃/熱炒店
1108,1108,素食
1110,1110,南洋
1112,1112,台灣小吃/熱炒店
1113,1113,台灣小吃/熱炒店
1114,1114,台灣小吃/熱炒店
1115,1115,台灣小吃/熱炒店
1116,1116,台灣小吃/熱炒店
1118,1118,台灣小吃/熱炒店
1119,1119,台灣小吃/熱炒店
1120,1120,台灣小吃/熱炒店
1121,1121,台灣小吃/熱炒店
1122,1122,台灣小吃/熱炒店
1123,1123,台灣小吃/熱炒店
1124,1124,台灣小吃/熱炒店
1125,1125,台灣小吃/熱炒店
1126,1126,台灣小吃/熱炒店
1127,1127,台灣小吃/熱炒店
1130,1130,素食
1131,1131,素食
1133,1133,素食
1135,1135,素食
1137,1137,素食
1138,1138,素食
1139,1139,素食
1140,1140,素食
1141,1141,素食
1142,1142,素食
1143,1143,素食
1144,1144,素食
1145,1145,素食
1146,1146,素食
1147,1147,素食
1148,1148,素食
1149,1149,素食
1152,1152,素食
1153,1153,素食
1154,1154,素食
1155,1155,素食
1157,1157,早午餐
1158,1158,素食
1160,1160,素食
1162,1162,素食
1163,1163,台灣小吃/熱炒店
1166,1166,素食
1167,1167,素食
1168,1168,早午餐
1169,1169,咖啡甜點
1170,1170,咖啡甜點
1171,1171,咖啡甜點
1172,1172,咖啡甜點
1173,1173,咖啡甜點
1174,1174,咖啡甜點
1175,1175,咖啡甜點
1176,1176,咖啡甜點
1177,1177,咖啡甜點
1178,1178,台灣小吃/熱炒店
1179,1179,台灣小吃/熱炒店
1181,1181,火鍋
1186,1186,中式
1188,1188,火鍋
1189,1189,台灣小吃/熱炒店
1190,1190,台灣小吃/熱炒店
1191,1191,台灣小吃/熱炒店
1192,1192,火鍋
1194,1194,火鍋
1195,1195,中式
1196,1196,早午餐
1197,1197,日式
1198,1198,咖啡甜點
1199,1199,咖啡甜點
1201,1201,咖啡甜點
1202,1202,咖啡甜點
1204,1204,早午餐
1205,1205,早午餐
1206,1206,早午餐
1207,1207,早午餐
1209,1209,早午餐
1210,1210,早午餐
1211,1211,早午餐
1212,1212,早午餐
1213,1213,早午餐
1214,1214,早午餐
1215,1215,早午餐
1216,1216,早午餐
1217,1217,早午餐
1219,1219,早午餐
1222,1222,早午餐
1223,1223,早午餐
1224,1224,早午餐
1227,1227,早午餐
1228,1228,早午餐
1229,1229,早午餐
1230,1230,早午餐
1231,1231,早午餐
1232,1232,台灣小吃/熱炒店
1234,1234,日式
1235,1235,日式
1236,1236,火鍋
1237,1237,火鍋
1238,1238,火鍋
1239,1239,火鍋
1240,1240,火鍋
1241,1241,日式
1242,1242,中式
1243,1243,日式
1244,1244,韓式
1245,1245,燒烤店
1246,1246,台灣小吃/熱炒店
1247,1247,台灣小吃/熱炒店
1248,1248,中式
1249,1249,美式
1250,1250,火鍋
1251,1251,火鍋
1253,1253,日式
1255,1255,火鍋
1257,1257,火鍋
1258,1258,火鍋
1259,1259,中式
1260,1260,火鍋
1261,1261,火鍋
1263,1263,火鍋
1264,1264,火鍋
1265,1265,火鍋
1267,1267,火鍋
1269,1269,日式
1270,1270,日式
1271,1271,日式
1272,1272,日式
1273,1273,日式
1274,1274,日式
1276,1276,日式
1277,1277,日式
1278,1278,日式
1279,1279,日式
1280,1280,台灣小吃/熱炒店
1281,1281,日式
1282,1282,日式
1283,1283,日式
1284,1284,日式
1285,1285,中式
1287,1287,日式
1288,1288,日式
1290,1290,台灣小吃/熱炒店
1291,1291,中式
1294,1294,台灣小吃/熱炒店
1295,1295,台灣小吃/熱炒店
1300,1300,美式
1301,1301,美式
1303,1303,意式
1305,1305,咖啡甜點
1307,1307,意式
1309,1309,意式
1311,1311,異國料理
1314,1314,意式
1315,1315,意式
1316,1316,日式
1317,1317,意式
1318,1318,意式
1320,1320,日式
1321,1321,異國料理
1322,1322,中式
1323,1323,異國料理
1324,1324,異國料理
1326,1326,意式
1328,1328,台灣小吃/熱炒店
1329,1329,日式
1330,1330,台灣小吃/熱炒店
1331,1331,咖啡甜點
1332,1332,咖啡甜點
1333,1333,異國料理
1334,1334,韓式
1335,1335,韓式
1336,1336,韓式
1337,1337,韓式
1338,1338,韓式
1339,1339,韓式
1341,1341,韓式
1342,1342,韓式
1343,1343,韓式
1344,1344,韓式
1345,1345,韓式
1346,1346,韓式
1347,1347,韓式
1348,1348,韓式
1349,1349,韓式
1350,1350,韓式
1351,1351,韓式
1353,1353,韓式
1354,1354,韓式
1355,1355,韓式
1356,1356,韓式
1357,1357,韓式
1358,1358,韓式
1359,1359,韓式
1360,1360,韓式
1361,1361,燒烤店
1363,1363,台灣小吃/熱炒店
1364,1364,韓式
1365,1365,韓式
1366,1366,早午餐
1367,1367,韓式
1368,1368,韓式
1371,1371,異國料理
1372,1372,中式
1374,1374,中式
1375,1375,酒吧/餐酒館
1376,1376,異國料理
1377,1377,日式
1378,1378,日式
1379,1379,美式
1383,1383,台灣小吃/熱炒店
1385,1385,台灣小吃/熱炒店
1389,1389,日式
1390,1390,異國料理
1391,1391,日式
1392,1392,意式
1393,1393,美式
1394,1394,早午餐
1395,1395,中式
1396,1396,中式
1397,1397,日式
1398,1398,美式
1399,1399,中式
1400,1400,中式
1401,1401,日式
1402,1402,台灣小吃/熱炒店
1403,1403,異國料理
1404,1404,異國料理
1405,1405,異國料理
1406,1406,異國料理
1407,1407,異國料理
1409,1409,異國料理
1411,1411,素食
1412,1412,台灣小吃/熱炒店
1416,1416,南洋
1417,1417,南洋
1420,1420,台灣小吃/熱炒店
1421,1421,日式
1422,1422,港式
1423,1423,台灣小吃/熱炒店
1424,1424,中式
1426,1426,中式
1428,1428,中式
1430,1430,中式
1431,1431,台灣小吃/熱炒店
1434,1434,中式
1435,1435,南洋
1437,1437,南洋
1438,1438,南洋
1439,1439,南洋
1440,1440,中式
1442,1442,台灣小吃/熱炒店
1444,1444,台灣小吃/熱炒店
1445,1445,台灣小吃/熱炒店
1446,1446,台灣小吃/熱炒店
1447,1447,台灣小吃/熱炒店
1448,1448,台灣小吃/熱炒店
1449,1449,台灣小吃/熱炒店
1450,1450,台灣小吃/熱炒店
1451,1451,台灣小吃/熱炒店
1452,1452,台灣小吃/熱炒店
1453,1453,日式
1454,1454,燒烤店
1455,1455,日式
1456,1456,日式
1457,1457,日式
1459,1459,早午餐
1460,1460,早午餐
1461,1461,咖啡甜點
1462,1462,咖啡甜點
1465,1465,台灣小吃/熱炒店
1467,1467,台灣小吃/熱炒店
1468,1468,台灣小吃/熱炒店
1469,1469,台灣小吃/熱炒店
1471,1471,台灣小吃/熱炒店
1472,1472,台灣小吃/熱炒店
1473,1473,中式
1474,1474,台灣小吃/熱炒店
1475,1475,中式
1477,1477,台灣小吃/熱炒店
1478,1478,韓式
1481,1481,火鍋
1482,1482,台灣小吃/熱炒店
1485,1485,早午餐
1486,1486,早午餐
1487,1487,早午餐
1488,1488,早午餐
1489,1489,早午餐
1490,1490,早午餐
1491,1491,早午餐
1493,1493,早午餐
1494,1494,早午餐
1495,1495,中式
1498,1498,早午餐
1499,1499,早午餐
1501,1501,咖啡甜點
1502,1502,咖啡甜點
1503,1503,異國料理
1504,1504,台灣小吃/熱炒店
1505,1505,火鍋
1506,1506,火鍋
1507,1507,火鍋
1508,1508,火鍋
1509,1509,火鍋
1511,1511,火鍋
1512,1512,日式
1513,1513,中式
1514,1514,中式
1515,1515,日式
1518,1518,中式
1519,1519,中式
1520,1520,台灣小吃/熱炒店
1522,1522,日式
1523,1523,日式
1524,1524,日式
1525,1525,日式
1526,1526,日式
1527,1527,日式
1528,1528,日式
1529,1529,日式
1530,1530,日式
1531,1531,台灣小吃/熱炒店
1532,1532,日式
1533,1533,日式
1534,1534,台灣小吃/熱炒店
1535,1535,中式
1536,1536,台灣小吃/熱炒店
1537,1537,日式
1538,1538,日式
1539,1539,日式
1541,1541,中式
1542,1542,中式
1543,1543,中式
1544,1544,日式
1546,1546,日式
1547,1547,台灣小吃/熱炒店
1548,1548,中式
1550,1550,中式
1551,1551,日式
1552,1552,南洋
1553,1553,中式
1557,1557,早午餐
1558,1558,異國料理
1559,1559,美式
1560,1560,異國料理
1561,1561,美式
1562,1562,美式
1564,1564,台灣小吃/熱炒店
1565,1565,台灣小吃/熱炒店
1567,1567,意式
1568,1568,台灣小吃/熱炒店
1570,1570,早午餐
1573,1573,早午餐
1574,1574,意式
1575,1575,意式
1576,1576,中式
1577,1577,異國料理
1578,1578,異國料理
1579,1579,意式
1583,1583,異國料理
1584,1584,異國料理
1586,1586,素食
1587,1587,咖啡甜點
1588,1588,日式
1589,1589,咖啡甜點
1590,1590,異國料理
1591,1591,日式
1592,1592,日式
1593,1593,日式
1595,1595,韓式
1596,1596,台灣小吃/熱炒店
1597,1597,異國料理
1598,1598,中式
1599,1599,台灣小吃/熱炒店
1600,1600,日式
1602,1602,台灣小吃/熱炒店
1604,1604,異國料理
1606,1606,咖啡甜點
1607,1607,咖啡甜點
1608,1608,咖啡甜點
1609,1609,異國料理
1610,1610,咖啡甜點
1611,1611,異國料理
1612,1612,異國料理
1615,1615,日式
1616,1616,咖啡甜點
1617,1617,咖啡甜點
1618,1618,中式
1619,1619,中式
1622,1622,南洋
1623,1623,日式
1624,1624,台灣小吃/熱炒店
1625,1625,咖啡甜點
1626,1626,美式
1628,1628,咖啡甜點
1630,1630,台灣小吃/熱炒店
1631,1631,台灣小吃/熱炒店
1632,1632,中式
1634,1634,中式
1636,1636,台灣小吃/熱炒店
1638,1638,中式
1640,1640,中式
1641,1641,中式
1642,1642,中式
1643,1643,韓式
1644,1644,韓式
1645,1645,韓式
1646,1646,韓式
1647,1647,韓式
1648,1648,韓式
1649,1649,韓式
1650,1650,韓式
1651,1651,韓式
1652,1652,韓式
1654,1654,韓式
1655,1655,韓式
1656,1656,韓式
1657,1657,韓式
1658,1658,韓式
1659,1659,韓式
1661,1661,韓式
1662,1662,韓式
1663,1663,韓式
1664,1664,韓式
1665,1665,韓式
1666,1666,韓式
1667,1667,韓式
1668,1668,韓式
1669,1669,韓式
1672,1672,韓式
1673,1673,韓式
1675,1675,韓式
1676,1676,韓式
1678,1678,異國料理
1679,1679,異國料理
1680,1680,日式
1681,1681,日式
1682,1682,中式
1683,1683,日式
1685,1685,素食
1687,1687,台灣小吃/熱炒店
1688,1688,日式
1690,1690,素食
1691,1691,南洋
1692,1692,台灣小吃/熱炒店
1693,1693,素食
1694,1694,日式
1695,1695,早午餐
1696,1696,中式
1697,1697,南洋
1698,1698,南洋
1699,1699,台灣小吃/熱炒店
1701,1701,意式
1702,1702,台灣小吃/熱炒店
1703,1703,港式
1707,1707,中式
1708,1708,中式
1709,1709,日式
1711,1711,南洋
1712,1712,南洋
1713,1713,南洋
1714,1714,南洋
1715,1715,中式
1716,1716,台灣小吃/熱炒店
1717,1717,日式
1718,1718,中式
1719,1719,日式
1720,1720,異國料理
1721,1721,中式
1722,1722,台灣小吃/熱炒店
1723,1723,咖啡甜點
1724,1724,咖啡甜點
1725,1725,咖啡甜點
1726,1726,咖啡甜點
1727,1727,咖啡甜點
