,google_url,place_name,total_rating,place_category,total_reviews,cost,address,district,eat_in,to_go_1,to_go_2,delivery,opening_hours,website,phone,close,place_acquisition_date,file_name_1,file_name_2
1047,https://www.google.com.tw/maps/place/%E8%A8%B1%E9%A1%98%E5%8C%99+J.K+rolling+Bistro/data=!4m7!3m6!1s0x3442a94388edebad:0x88fe2e33aa00531c!8m2!3d25.0161696!4d121.5316787!16s%2Fg%2F11k5h1013h!19sChIJrevtiEOpQjQRHFMAqjMu_og?authuser=0&hl=zh-TW&rclk=1,許願匙 J.K rolling Bistro,5.0,小餐館 (Bistro),67.0,, 100台北市中正區羅斯福路三段284巷13號2樓,Plus Code: 2G8J+FM 中正區 台北市,1,1,0,0,星期二、休息; 星期三、休息; 星期四、休息; 星期五、休息; 星期六、11:00 到 21:00; 星期日、11:00 到 21:00; 星期一、休息. 隱藏本週營業時間,https://www.instagram.com/jk_rolling0328/, 0930 690 737,,2022-11-22,1047,1047_許願匙 
1184,https://www.google.com.tw/maps/place/285%E7%82%92%E9%A3%AF%EF%BC%8C%E7%82%92%E9%BA%B5%EF%BC%8C%E7%87%B4%E9%A3%AF/data=!4m7!3m6!1s0x3442ac696cd19825:0x724858b678bcf352!8m2!3d25.0794626!4d121.577794!16s%2Fg%2F11cn2v91fl!19sChIJJZjRbGmsQjQRUvO8eLZYSHI?authuser=0&hl=zh-TW&rclk=1,285炒飯，炒麵，燴飯,4.3,小餐館 (Bistro),47.0,, 114台北市內湖區內湖路一段737巷8弄18號,Plus Code: 3HHH+Q4 內湖區 台北市,1,1,0,1,星期二、11:00 到 13:30、17:00 到 20:00; 星期三、11:00 到 13:30、17:00 到 20:00; 星期四、11:00 到 13:30、17:00 到 20:00; 星期五、11:00 到 13:30、17:00 到 20:00; 星期六、11:00 到 13:00、17:00 到 19:30; 星期日、休息; 星期一、11:00 到 13:30、17:00 到 20:00. 隱藏本週營業時間,https://bistro-1264.business.site/?utm_source=gmb&utm_medium=referral, 0918 860 659,,2022-11-22,1184,1184_285炒
1308,https://www.google.com.tw/maps/place/%E7%9C%9F%E8%8A%AF%E9%A3%9F%E5%A0%82/data=!4m7!3m6!1s0x3442af002ef95bf5:0x1473bae0c2a6dbb4!8m2!3d25.1319389!4d121.5011718!16s%2Fg%2F11j5fv6s51!19sChIJ9Vv5LgCvQjQRtNumwuC6cxQ?authuser=0&hl=zh-TW&rclk=1,真芯食堂,4.5,小餐館 (Bistro),68.0,, 112台北市北投區中正街8號,Plus Code: 4GJ2+QF 北投區 台北市,1,0,1,1,星期二、休息; 星期三、11:00 到 14:00、17:00 到 19:00; 星期四、11:00 到 14:00、17:00 到 19:00; 星期五、11:00 到 14:00、17:00 到 19:00; 星期六、11:00 到 14:00、17:00 到 19:00; 星期日、11:00 到 14:00、17:00 到 19:00; 星期一、11:00 到 14:00、17:00 到 19:00. 隱藏本週營業時間,, 0926 815 577,,2022-11-22,1308,1308_真芯食堂
1516,https://www.google.com.tw/maps/place/%E5%A4%A7%E4%BF%A0%E8%AB%8B%E7%95%99%E6%AD%A5/data=!4m7!3m6!1s0x3442afbc88d972ff:0x79e0d54c03c42bdd!8m2!3d25.0897344!4d121.5271151!16s%2Fg%2F11h4_dwtjm!19sChIJ_3LZiLyvQjQR3SvEA0zV4Hk?authuser=0&hl=zh-TW&rclk=1,大俠請留步,4.8,小餐館 (Bistro),2367.0,, 111台北市士林區文林路188號,Plus Code: 3GQG+VR 士林區 台北市,1,1,0,1,星期二、17:30 到 00:00; 星期三、17:30 到 00:00; 星期四、17:30 到 00:00; 星期五、17:30 到 01:00; 星期六、17:30 到 01:00; 星期日、17:30 到 00:00; 星期一、17:30 到 00:00. 隱藏本週營業時間,https://www.facebook.com/swordman.tw/, 02 2883 5268,,2022-11-22,1516,1516_大俠請留
1581,https://www.google.com.tw/maps/place/%E9%BA%97%E8%8A%B3%E8%80%81%E6%A8%93/data=!4m7!3m6!1s0x3442a945039a0303:0x583a59ba7fd4f5a!8m2!3d25.0654963!4d121.5232195!16s%2Fg%2F11ggzfzk1r!19sChIJAwOaA0WpQjQRWk_9p5ulgwU?authuser=0&hl=zh-TW&rclk=1,麗芳老樓,4.7,小餐館 (Bistro),554.0,$$, 10491台北市中山區雙城街18巷15號,Plus Code: 3G8F+57 中山區 台北市,1,1,0,1,星期二、11:30 到 16:30、18:00 到 22:30; 星期三、11:30 到 16:30、18:00 到 22:30; 星期四、11:30 到 16:30、18:00 到 22:30; 星期五、11:30 到 16:30、18:00 到 22:30; 星期六、11:30 到 16:30、18:00 到 22:30; 星期日、11:30 到 16:30、18:00 到 22:30; 星期一、11:30 到 16:30、18:00 到 22:30. 隱藏本週營業時間,https://reurl.cc/Varn4Y, 02 2599 3391,,2022-11-22,1581,1581_麗芳老樓
1621,https://www.google.com.tw/maps/place/Black+Bottle/data=!4m7!3m6!1s0x3442ab92169686c1:0xa39d3c19a60737!8m2!3d25.0570739!4d121.5645523!16s%2Fg%2F11bwh8h556!19sChIJwYaWFpKrQjQRNwemGTydowA?authuser=0&hl=zh-TW&rclk=1,Black Bottle,4.7,小餐館 (Bistro),690.0,$$, 105台北市松山區延壽街123號,Plus Code: 3H47+RR 松山區 台北市,1,1,0,0,星期二、17:30 到 22:30; 星期三、17:30 到 22:30; 星期四、17:30 到 22:30; 星期五、17:30 到 22:30; 星期六、17:30 到 22:30; 星期日、休息; 星期一、17:30 到 22:30. 隱藏本週營業時間,https://www.facebook.com/Black-bottle%E9%BB%91%E7%93%B6%E5%B0%8F%E9%A4%A820-109674315048137/, 0916 721 422,,2022-11-22,1621,1621_Blac
1903,https://www.google.com.tw/maps/place/%E9%87%91%E6%98%A5%E7%99%BC%E7%89%9B%E8%82%89%E5%BA%97/data=!4m7!3m6!1s0x3442ae529111bb8f:0x4e9cc9a9af7482d1!8m2!3d25.1376583!4d121.4932767!16s%2Fg%2F1v44bnpj!19sChIJj7sRkVKuQjQR0YJ0r6nJnE4?authuser=0&hl=zh-TW&rclk=1,金春發牛肉店,3.8,葷食餐廳,2091.0,$$, 112台北市北投區中央北路二段169號,Plus Code: 4FQV+38 北投區 台北市,1,1,0,1,星期二、11:00 到 20:30; 星期三、11:00 到 20:30; 星期四、11:00 到 20:30; 星期五、11:00 到 20:30; 星期六、11:00 到 20:30; 星期日、11:00 到 20:30; 星期一、休息. 隱藏本週營業時間,http://www.kingbeef.twmail.net/, 02 2892 8072,,2022-11-22,1903,1903_金春發牛
1978,https://www.google.com.tw/maps/place/%E5%96%9C/data=!4m7!3m6!1s0x3442a965d90f847f:0xdbde7cf81d7e0efb!8m2!3d25.0507451!4d121.5275093!16s%2Fg%2F11c55577kt!19sChIJf4QP2WWpQjQR-w5-Hfh83ts?authuser=0&hl=zh-TW&rclk=1,喜,4.5,小餐館 (Bistro),90.0,$$, 104台北市中山區林森北路133巷82號,Plus Code: 3G2H+72 中山區 台北市,1,0,0,0,星期二、18:00 到 23:30; 星期三、18:00 到 23:30; 星期四、18:00 到 23:30; 星期五、18:00 到 23:30; 星期六、18:00 到 23:30; 星期日、休息; 星期一、18:00 到 23:30. 隱藏本週營業時間,, 02 2541 8680,,2022-11-22,1978,1978_喜
2004,https://www.google.com.tw/maps/place/%E8%8D%89%E9%A0%AD%E8%A5%BF/data=!4m7!3m6!1s0x3442a9ada3c8a33d:0x22da62389c38adf1!8m2!3d25.0210479!4d121.5229727!16s%2Fg%2F11qm0t0tkr!19sChIJPaPIo62pQjQR8a04nDhi2iI?authuser=0&hl=zh-TW&rclk=1,草頭西,4.4,小餐館 (Bistro),100.0,, 100台北市中正區金門街25-2號,Plus Code: 2GCF+C5 中正區 台北市,1,0,0,0,星期二、13:00 到 22:00; 星期三、13:00 到 22:00; 星期四、13:00 到 22:00; 星期五、13:00 到 22:00; 星期六、13:00 到 22:00; 星期日、休息; 星期一、休息. 隱藏本週營業時間,https://www.instagram.com/caotouxi2020/?hl=zh-tw,,,2022-11-22,2004,2004_草頭西
2028,https://www.google.com.tw/maps/place/%E5%B0%8F%E5%B7%9D%E9%9B%9E%E8%82%89%E9%A3%AF/data=!4m7!3m6!1s0x3442ae5088f26f3f:0x155215d074ac451a!8m2!3d25.1336417!4d121.5019611!16s%2Fg%2F11bwh4ps7d!19sChIJP2_yiFCuQjQRGkWsdNAVUhU?authuser=0&hl=zh-TW&rclk=1,小川雞肉飯,4.1,食堂與定食餐廳,110.0,$, 112台北市北投區光明路115-2號,Plus Code: 4GM2+FQ 北投區 台北市,1,1,0,0,星期二、11:00 到 20:30; 星期三、11:00 到 20:30; 星期四、11:00 到 20:30; 星期五、11:00 到 20:30; 星期六、休息; 星期日、11:00 到 20:30; 星期一、11:00 到 20:30. 隱藏本週營業時間,, 02 2898 2699,,2022-11-22,2028,2028_小川雞肉
2065,https://www.google.com.tw/maps/place/ALLEZ+BISTRO%E4%BE%86%E9%85%92%E9%A4%A8%EF%BC%88%E9%A4%90%E9%85%92%E9%A4%A8%EF%BC%89/data=!4m7!3m6!1s0x3442abe914ba3c1d:0xbcb5ba19a3efc6a2!8m2!3d25.0541641!4d121.552644!16s%2Fg%2F11b6__mnx8!19sChIJHTy6FOmrQjQRosbvoxm6tbw?authuser=0&hl=zh-TW&rclk=1,ALLEZ BISTRO來酒館（餐酒館）,4.4,小餐館 (Bistro),873.0,$$, 10549台北市松山區敦化北路155巷117號,Plus Code: 3H33+M3 松山區 台北市,1,1,0,0,星期二、11:30 到 14:30、17:30 到 21:30; 星期三、11:30 到 14:30、17:30 到 21:30; 星期四、11:30 到 14:30、17:30 到 21:30; 星期五、11:30 到 14:30、17:30 到 21:30; 星期六、11:30 到 14:30、17:30 到 21:30; 星期日、休息; 星期一、休息. 隱藏本週營業時間,http://www.facebook.com/allezb, 02 2545 5035,,2022-11-22,2065,2065_ALLE
2067,https://www.google.com.tw/maps/place/Pan+House+Wine+%26+Bistro/data=!4m7!3m6!1s0x3442abfa916027b7:0xf3be640cbf7f2f1b!8m2!3d25.0427444!4d121.5547415!16s%2Fg%2F11fjy4fphg!19sChIJtydgkfqrQjQRGy9_vwxkvvM?authuser=0&hl=zh-TW&rclk=1,Pan House Wine & Bistro,4.4,小餐館 (Bistro),110.0,, 106台北市大安區延吉街131巷9號,Plus Code: 2HV3+3V 大安區 台北市,1,1,0,1,星期二、15:30 到 00:00; 星期三、15:30 到 00:00; 星期四、15:30 到 00:00; 星期五、15:30 到 02:00; 星期六、15:30 到 02:00; 星期日、15:30 到 00:00; 星期一、15:30 到 00:00. 隱藏本週營業時間,https://www.facebook.com/panhousewine/?modal=admin_todo_tour, 02 2731 2465,,2022-11-22,2067,2067_Pan 
2069,https://www.google.com.tw/maps/place/INDULGE+Bistro+(%E5%AF%A6%E9%A9%97%E5%89%B5%E6%96%B0%E9%A4%90%E9%85%92%E9%A4%A8)/data=!4m7!3m6!1s0x3442abd0e2e035e5:0x819af3bd78283034!8m2!3d25.0391324!4d121.5447768!16s%2Fg%2F1tp8xr4b!19sChIJ5TXg4tCrQjQRNDAoeL3zmoE?authuser=0&hl=zh-TW&rclk=1,INDULGE Bistro (實驗創新餐酒館),4.5,小餐館 (Bistro),1552.0,$$$, 106台北市大安區復興南路一段219巷11號,Plus Code: 2GQV+MW 大安區 台北市,1,0,1,1,星期二、18:00 到 01:00; 星期三、18:00 到 01:00; 星期四、18:00 到 00:00; 星期五、18:00 到 02:00; 星期六、11:30 到 17:00、18:00 到 02:00; 星期日、11:30 到 17:00、18:00 到 01:00; 星期一、18:00 到 01:00. 隱藏本週營業時間,http://indulgebistrotaipei.blogspot.tw/, 02 2773 0080,,2022-11-22,2069,2069_INDU
2140,https://www.google.com.tw/maps/place/%E9%98%BF%E4%BA%AE%E5%B0%8F%E5%90%83/data=!4m7!3m6!1s0x3442aeed008dc33f:0x6f92f5e8664539b5!8m2!3d25.11195!4d121.510303!16s%2Fg%2F11g_wzbj0!19sChIJP8ONAO2uQjQRtTlFZuj1km8?authuser=0&hl=zh-TW&rclk=1,阿亮小吃,4.7,小餐館 (Bistro),1326.0,$, 112台北市北投區承德路七段98號,Plus Code: 4G66+Q4 北投區 台北市,1,1,0,1,星期二、24 小時營業; 星期三、24 小時營業; 星期四、24 小時營業; 星期五、24 小時營業; 星期六、00:00 到 08:00; 星期日、10:00 到 00:00; 星期一、24 小時營業. 隱藏本週營業時間,https://bistro-954.business.site/?utm_source=gmb&utm_medium=referral, 02 2821 6415,,2022-11-22,2140,2140_阿亮小吃
2215,https://www.google.com.tw/maps/place/%E6%B8%A3%E7%94%B7Taiwan+Bistro%E3%80%8A%E5%8F%A4%E4%BA%AD%E5%9B%9B%E6%B8%A3%E3%80%8B/data=!4m7!3m6!1s0x3442a9fca5cf5f71:0xdf4bd899d6f82a91!8m2!3d25.0263201!4d121.5193817!16s%2Fg%2F11hdg12wwv!19sChIJcV_PpfypQjQRkSr41pnYS98?authuser=0&hl=zh-TW&rclk=1,渣男Taiwan Bistro《古亭四渣》,4.6,小餐館 (Bistro),1612.0,$$, 100台北市中正區和平西路一段62號,Plus Code: 2GG9+GQ 中正區 台北市,1,1,0,1,星期二、17:30 到 01:30; 星期三、17:30 到 01:30; 星期四、17:30 到 01:30; 星期五、17:30 到 01:30; 星期六、17:30 到 01:30; 星期日、17:30 到 01:30; 星期一、17:30 到 01:30. 隱藏本週營業時間,https://inline.app/booking/zhanan, 02 2365 3353,,2022-11-22,2215,2215_渣男Ta
2346,https://www.google.com.tw/maps/place/%E9%87%91%E5%90%8D%E8%99%9F%E9%9B%9E%E8%82%89%E9%A3%AF/data=!4m7!3m6!1s0x3442a91ad40bda83:0xcdb8d793a296a195!8m2!3d25.012662!4d121.535658!16s%2Fg%2F11q8vkh3k0!19sChIJg9oL1BqpQjQRlaGWopPXuM0?authuser=0&hl=zh-TW&rclk=1,金名號雞肉飯,4.2,小餐館 (Bistro),247.0,, 10091台北市中正區羅斯福路四段136巷6弄2號,Plus Code: 2G7P+37 中正區 台北市,1,1,0,1,星期二、11:00 到 14:30、16:30 到 21:00; 星期三、11:00 到 14:30、16:30 到 21:00; 星期四、11:00 到 14:30、16:30 到 21:00; 星期五、11:00 到 14:30、16:30 到 21:00; 星期六、11:00 到 14:30、16:30 到 21:00; 星期日、11:00 到 14:30、16:30 到 21:00; 星期一、11:00 到 14:30、16:30 到 21:00. 隱藏本週營業時間,https://reurl.cc/rg2dXy, 02 2365 0767,,2022-11-22,2346,2346_金名號雞
2377,https://www.google.com.tw/maps/place/LIFT+FOOD+%26+DRINKS/data=!4m7!3m6!1s0x3442ab4a69e03393:0x66178b03a4ee6296!8m2!3d25.0424029!4d121.5471243!16s%2Fg%2F11lfq4qpyx!19sChIJkzPgaUqrQjQRlmLupAOLF2Y?authuser=0&hl=zh-TW&rclk=1,LIFT FOOD & DRINKS,4.8,小餐館 (Bistro),87.0,, 106台北市大安區敦化南路１段190巷30號,Plus Code: 2GRW+XR 大安區 台北市,1,0,0,0,星期二、18:30 到 01:00; 星期三、18:30 到 01:00; 星期四、18:30 到 01:00; 星期五、18:30 到 02:00; 星期六、18:30 到 02:00; 星期日、休息; 星期一、18:30 到 01:00. 隱藏本週營業時間,, 02 2776 0296,,2022-11-22,2377,2377_LIFT
2381,https://www.google.com.tw/maps/place/P.s.+I+Love+You+Bar+%26+Bistro/data=!4m7!3m6!1s0x3442abab1e7b0b39:0x6cc57c92a1f24d05!8m2!3d25.0427952!4d121.5473954!16s%2Fg%2F11lgjjw3jy!19sChIJOQt7HqurQjQRBU3yoZJ8xWw?authuser=0&hl=zh-TW&rclk=1,P.s. I Love You Bar & Bistro,4.6,小餐館 (Bistro),197.0,, 106台北市大安區敦化南路一段190巷31號1F,Plus Code: 2GVW+4X 大安區 台北市,1,0,1,1,星期二、19:00 到 01:00; 星期三、19:00 到 01:00; 星期四、19:00 到 01:00; 星期五、19:00 到 02:00; 星期六、19:00 到 02:00; 星期日、19:00 到 01:00; 星期一、19:00 到 01:00. 隱藏本週營業時間,https://ps-i-love-you-bar-bistro-ps-healthy-box.business.site/?utm_source=gmb&utm_medium=referral, 02 8771 8520,,2022-11-22,2381,2381_P.s.
2450,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%A3%9F%E5%A0%82/data=!4m7!3m6!1s0x3442ae7e90b1c331:0xe0563ea444413ab8!8m2!3d25.1225397!4d121.5320844!16s%2Fg%2F11cnc7sh46!19sChIJMcOxkH6uQjQRuDpBRKQ-VuA?authuser=0&hl=zh-TW&rclk=1,七海食堂,3.9,食堂與定食餐廳,181.0,$$," 號, No. 126中山北路七段士林區台北市111",Plus Code: 4GFJ+2R 士林區 台北市,1,1,0,1,星期二、11:00 到 14:00、17:00 到 21:00; 星期三、11:00 到 14:00、17:00 到 21:00; 星期四、05:00 到 21:00; 星期五、11:00 到 14:00、17:00 到 21:00; 星期六、11:00 到 21:00; 星期日、11:00 到 14:00、17:00 到 20:30; 星期一、休息. 隱藏本週營業時間,https://www.facebook.com/%E4%B8%83%E6%B5%B7%E9%A3%9F%E5%A0%82-1441529796080818/?ti=as, 02 2871 1700,,2022-11-22,2450,2450_七海食堂
2499,https://www.google.com.tw/maps/place/%E5%BD%A5%E5%90%9B%E5%B0%8F%E6%96%99%E7%90%86/data=!4m7!3m6!1s0x3442ae7e7c58b055:0x2ffdf24ffe15851c!8m2!3d25.1213224!4d121.5318229!16s%2Fg%2F11ddyd4tmg!19sChIJVbBYfH6uQjQRHIUV_k_y_S8?authuser=0&hl=zh-TW&rclk=1,彥君小料理,4.8,食堂與定食餐廳,120.0,, 111台北市士林區中山北路七段82巷4號號,Plus Code: 4GCJ+GP 士林區 台北市,1,1,0,0,星期二、11:00 到 20:00; 星期三、11:00 到 20:00; 星期四、11:00 到 20:00; 星期五、11:00 到 20:00; 星期六、11:00 到 20:00; 星期日、11:00 到 20:00; 星期一、11:00 到 20:00. 隱藏本週營業時間,, 02 2877 2289,,2022-11-22,2499,2499_彥君小料
