file_name_1,標記
3628,台灣小吃/熱炒店
3630,台灣小吃/熱炒店
3639,台灣小吃/熱炒店
3659,
3661,台灣小吃/熱炒店
3663,台灣小吃/熱炒店
3666,港式
3673,台灣小吃/熱炒店
3674,
3678,
3681,
3697,
3704,日式
3710,台灣小吃/熱炒店
3717,台灣小吃/熱炒店
3719,
3729,中式
3739,台灣小吃/熱炒店
3745,早午餐
3753,異國料理
3762,台灣小吃/熱炒店
3770,
3779,台灣小吃/熱炒店
3790,火鍋
3795,早午餐
3815,台灣小吃/熱炒店
3819,
3822,
3826,酒吧/餐酒館
3859,港式
3868,日式
3872,意式
3874,酒吧/餐酒館
3876,台灣小吃/熱炒店
3897,台灣小吃/熱炒店
3900,台灣小吃/熱炒店
3924,台灣小吃/熱炒店
3938,台灣小吃/熱炒店
3945,咖啡甜點
3965,台灣小吃/熱炒店
3976,
3985,日式
3997,酒吧/餐酒館
3998,酒吧/餐酒館
4002,台灣小吃/熱炒店
4005,台灣小吃/熱炒店
4014,台灣小吃/熱炒店
4016,酒吧/餐酒館
4017,酒吧/餐酒館
4018,美式
4028,咖啡甜點
4046,港式
4052,意式
4053,台灣小吃/熱炒店
4059,台灣小吃/熱炒店
4062,
4064,台灣小吃/熱炒店
4068,台灣小吃/熱炒店
4071,日式
4080,日式
4086,日式
4097,早午餐
4105,
4109,咖啡甜點
4121,台灣小吃/熱炒店
4126,台灣小吃/熱炒店
4136,火鍋
4137,
4143,酒吧/餐酒館
4149,日式
4162,
4163,酒吧/餐酒館
4167,酒吧/餐酒館
4173,
4187,
4190,台灣小吃/熱炒店
4191,台灣小吃/熱炒店
4205,台灣小吃/熱炒店
4208,美式
4209,
4214,台灣小吃/熱炒店
4225,台灣小吃/熱炒店
4226,台灣小吃/熱炒店
4255,
4259,酒吧/餐酒館
4263,台灣小吃/熱炒店
4268,意式
4269,
4274,台灣小吃/熱炒店
4281,
4298,台灣小吃/熱炒店
4301,台灣小吃/熱炒店
4302,美式
4304,
4307,港式
4308,意式
4309,
4318,咖啡甜點
4329,咖啡甜點
4330,早午餐
4332,早午餐
4356,台灣小吃/熱炒店
4357,台灣小吃/熱炒店
4358,台灣小吃/熱炒店
4360,台灣小吃/熱炒店
4375,
4384,
4388,早午餐
4393,台灣小吃/熱炒店
4409,
4412,台灣小吃/熱炒店
4419,
4427,
4428,台灣小吃/熱炒店
4439,酒吧/餐酒館
4441,咖啡甜點
4454,台灣小吃/熱炒店
4471,南洋
4478,酒吧/餐酒館
4479,酒吧/餐酒館
4496,台灣小吃/熱炒店
4498,酒吧/餐酒館
4500,
4501,台灣小吃/熱炒店
4506,台灣小吃/熱炒店
4510,
4512,台灣小吃/熱炒店
4515,早午餐
4516,早午餐
4518,台灣小吃/熱炒店
4522,港式
4528,異國料理
4533,
4534,酒吧/餐酒館
4536,酒吧/餐酒館
4537,異國料理
4541,意式
4542,美式
4543,港式
4545,
4547,
4552,
4567,
4573,
4575,台灣小吃/熱炒店
4581,台灣小吃/熱炒店
4590,南洋
4602,咖啡甜點
4612,台灣小吃/熱炒店
4624,咖啡甜點
4634,
4661,燒烤店
4663,
4675,燒烤店
4678,異國料理
4680,台灣小吃/熱炒店
4690,咖啡甜點
4696,台灣小吃/熱炒店
4719,日式
4723,日式
4729,咖啡甜點
4735,咖啡甜點
4778,
4779,日式
4786,台灣小吃/熱炒店
4800,咖啡甜點
4813,咖啡甜點
4816,咖啡甜點
4817,台灣小吃/熱炒店
4828,火鍋
4831,台灣小吃/熱炒店
4836,台灣小吃/熱炒店
4862,台灣小吃/熱炒店
4869,美式
4870,台灣小吃/熱炒店
4877,台灣小吃/熱炒店
4879,台灣小吃/熱炒店
4880,台灣小吃/熱炒店
4881,台灣小吃/熱炒店
4882,
4883,台灣小吃/熱炒店
4891,
4896,咖啡甜點
4902,酒吧/餐酒館
4906,咖啡甜點
4907,咖啡甜點
4919,燒烤店
4921,中式
4922,台灣小吃/熱炒店
4938,咖啡甜點
4939,日式
4949,酒吧/餐酒館
4953,台灣小吃/熱炒店
4969,酒吧/餐酒館
4993,台灣小吃/熱炒店
4997,台灣小吃/熱炒店
4999,韓式
5002,咖啡甜點
5004,日式
5008,素食
5035,火鍋
5042,燒烤店
5045,異國料理
5070,中式
5078,中式
5093,中式
5094,火鍋
5115,異國料理
5133,
5140,台灣小吃/熱炒店
5143,港式
5146,咖啡甜點
5157,台灣小吃/熱炒店
5161,酒吧/餐酒館
5162,台灣小吃/熱炒店
5166,早午餐
5171,台灣小吃/熱炒店
5176,燒烤店
5177,燒烤店
5178,台灣小吃/熱炒店
5179,台灣小吃/熱炒店
5181,中式
5191,台灣小吃/熱炒店
5199,台灣小吃/熱炒店
5200,台灣小吃/熱炒店
5201,台灣小吃/熱炒店
5204,台灣小吃/熱炒店
5205,台灣小吃/熱炒店
5243,酒吧/餐酒館
5269,
5275,台灣小吃/熱炒店
5295,台灣小吃/熱炒店
5299,
5307,台灣小吃/熱炒店
5327,
5332,台灣小吃/熱炒店
5348,
5349,火鍋
5352,中式
5358,燒烤店
5368,早午餐
5386,台灣小吃/熱炒店
5400,台灣小吃/熱炒店
5403,中式
5406,
5408,意式
5412,意式
5413,咖啡甜點
5414,咖啡甜點
5415,咖啡甜點
5416,日式
5427,日式
5430,早午餐
5435,中式
5452,
5459,韓式
5464,南洋
5465,南洋
5487,日式
5505,南洋
5512,酒吧/餐酒館
5530,日式
5539,台灣小吃/熱炒店
5540,
5546,酒吧/餐酒館
5560,
5562,
5565,台灣小吃/熱炒店
5571,台灣小吃/熱炒店
5576,火鍋
5586,酒吧/餐酒館
5594,中式
5601,
5602,
5606,日式
5619,台灣小吃/熱炒店
5622,異國料理
5627,南洋
5658,港式
5661,港式
5686,台灣小吃/熱炒店
5702,酒吧/餐酒館
5723,早午餐
5744,
5746,台灣小吃/熱炒店
5758,台灣小吃/熱炒店
5760,中式
5768,異國料理
5778,早午餐
5783,中式
5793,
5794,台灣小吃/熱炒店
5804,異國料理
5814,台灣小吃/熱炒店
5820,台灣小吃/熱炒店
5822,意式
5824,意式
5830,台灣小吃/熱炒店
5840,素食
5842,早午餐
5845,咖啡甜點
5852,台灣小吃/熱炒店
5853,台灣小吃/熱炒店
5855,台灣小吃/熱炒店
5859,咖啡甜點
5879,中式
5882,中式
5883,火鍋
5884,中式
5885,日式
5886,中式
5891,
5906,中式
5914,
5916,台灣小吃/熱炒店
5918,台灣小吃/熱炒店
5928,咖啡甜點
5932,咖啡甜點
5934,中式
5937,台灣小吃/熱炒店
5942,咖啡甜點
5958,中式
5977,中式
5978,台灣小吃/熱炒店
5991,台灣小吃/熱炒店
6003,台灣小吃/熱炒店
6005,台灣小吃/熱炒店
6006,台灣小吃/熱炒店
6012,南洋
6014,台灣小吃/熱炒店
6028,日式
6030,火鍋
6047,美式
6049,中式
6052,意式
6064,咖啡甜點
6068,台灣小吃/熱炒店
6098,台灣小吃/熱炒店
6104,台灣小吃/熱炒店
6112,台灣小吃/熱炒店
6113,
6118,
6120,
6131,
6145,港式
6146,港式
6148,港式
6164,日式
6165,意式
6167,中式
6171,中式
6178,港式
6180,台灣小吃/熱炒店
6181,台灣小吃/熱炒店
6182,酒吧/餐酒館
6189,南洋
6198,台灣小吃/熱炒店
6200,台灣小吃/熱炒店
6203,台灣小吃/熱炒店
6205,台灣小吃/熱炒店
6219,中式
6220,中式
6221,中式
6228,台灣小吃/熱炒店
6240,南洋
6246,台灣小吃/熱炒店
6253,台灣小吃/熱炒店
6259,中式
6261,台灣小吃/熱炒店
6262,台灣小吃/熱炒店
6282,日式
6285,港式
6288,火鍋
6294,中式
6301,燒烤店
6303,
6304,異國料理
6311,
6321,
6327,台灣小吃/熱炒店
6339,台灣小吃/熱炒店
6341,異國料理
6345,台灣小吃/熱炒店
6348,酒吧/餐酒館
6361,台灣小吃/熱炒店
6370,酒吧/餐酒館
6376,意式
6382,台灣小吃/熱炒店
6386,酒吧/餐酒館
6388,酒吧/餐酒館
6390,中式
6397,意式
6398,台灣小吃/熱炒店
6399,
6401,日式
6408,
6411,中式
6415,意式
6428,日式
6435,酒吧/餐酒館
6438,台灣小吃/熱炒店
6439,中式
6445,
6452,
6459,台灣小吃/熱炒店
6464,
6476,中式
6493,中式
6502,火鍋
6512,台灣小吃/熱炒店
6513,日式
6531,異國料理
6541,異國料理
6550,中式
6556,中式
6561,火鍋
6566,火鍋
6569,
6575,中式
6576,咖啡甜點
6578,
6583,酒吧/餐酒館
6593,
6597,酒吧/餐酒館
6605,台灣小吃/熱炒店
6606,台灣小吃/熱炒店
6613,異國料理
6614,日式
6617,中式
6618,中式
6624,異國料理
6630,中式
6649,台灣小吃/熱炒店
6650,中式
6651,中式
6662,日式
6665,日式
6668,中式
6689,中式
6700,酒吧/餐酒館
6701,異國料理
6709,中式
6738,日式
6753,酒吧/餐酒館
6766,日式
6767,日式
6778,異國料理
6797,異國料理
6799,異國料理
6805,意式
6806,異國料理
6807,南洋
6809,酒吧/餐酒館
6820,台灣小吃/熱炒店
6830,異國料理
6835,咖啡甜點
6836,異國料理
6853,南洋
6854,南洋
6864,意式
6905,日式
6906,台灣小吃/熱炒店
6908,早午餐
6910,中式
6911,燒烤店
6930,中式
6939,中式
6940,中式
6946,酒吧/餐酒館
6980,素食
6983,酒吧/餐酒館
7009,台灣小吃/熱炒店
7012,中式
7013,中式
7015,台灣小吃/熱炒店
7032,早午餐
7052,早午餐
7058,台灣小吃/熱炒店
7071,日式
7076,
7078,
7085,燒烤店
7088,港式
7089,美式
7100,中式
7106,日式
7110,火鍋
7134,酒吧/餐酒館
7144,
7149,中式
7164,異國料理
7170,異國料理
7183,台灣小吃/熱炒店
7186,台灣小吃/熱炒店
7197,異國料理
7226,
7253,異國料理
7255,
7262,早午餐
7277,南洋
7279,中式
7288,美式
7290,
7291,異國料理
7297,異國料理
7298,港式
7304,咖啡甜點
7319,異國料理
7332,
7337,中式
7359,中式
7364,中式
7371,日式
7386,中式
7387,中式
7396,中式
7405,中式
7427,台灣小吃/熱炒店
7433,異國料理
7447,素食
7451,咖啡甜點
7456,中式
7458,咖啡甜點
7477,酒吧/餐酒館
7485,異國料理
7490,南洋
7494,咖啡甜點
7506,意式
7519,中式
7521,
7525,南洋
7526,酒吧/餐酒館
7531,港式
7533,港式
7536,港式
7541,異國料理
7546,
7556,火鍋
7606,異國料理
7612,美式
7613,
7614,意式
7624,台灣小吃/熱炒店
7635,中式
7638,
7653,意式
7654,中式
7658,台灣小吃/熱炒店
7675,台灣小吃/熱炒店
7678,台灣小吃/熱炒店
7679,意式
7682,台灣小吃/熱炒店
7683,台灣小吃/熱炒店
7684,台灣小吃/熱炒店
7685,台灣小吃/熱炒店
7688,中式
7689,台灣小吃/熱炒店
7690,早午餐
7693,台灣小吃/熱炒店
7703,
7707,
7710,酒吧/餐酒館
7711,中式
7724,
7727,台灣小吃/熱炒店
7741,
7752,咖啡甜點
7764,
7767,台灣小吃/熱炒店
7774,
7778,台灣小吃/熱炒店
7779,酒吧/餐酒館
7781,火鍋
7784,異國料理
7791,
7795,台灣小吃/熱炒店
7796,台灣小吃/熱炒店
7815,異國料理
7825,酒吧/餐酒館
7831,
7846,
7855,美式
7868,火鍋
7877,火鍋
7887,火鍋
7899,南洋
7905,
7921,中式
7926,中式
7929,酒吧/餐酒館
7932,火鍋
7934,異國料理
7935,中式
7937,
7943,韓式
7951,意式
7952,酒吧/餐酒館
7956,
7965,
7968,酒吧/餐酒館
7972,台灣小吃/熱炒店
7973,異國料理
7977,素食
7980,素食
7993,酒吧/餐酒館
7994,酒吧/餐酒館
7997,酒吧/餐酒館
7998,酒吧/餐酒館
8004,酒吧/餐酒館
8017,咖啡甜點
8032,
8041,中式
8046,中式
8049,火鍋
8056,中式
8063,台灣小吃/熱炒店
8064,日式
8065,中式
8066,台灣小吃/熱炒店
8069,
8074,台灣小吃/熱炒店
8080,中式
8082,中式
8086,中式
8088,日式
8092,
8094,中式
8097,台灣小吃/熱炒店
8103,
8107,
8108,
8125,異國料理
8132,
8133,南洋
8134,異國料理
8139,台灣小吃/熱炒店
8144,
8153,
8157,台灣小吃/熱炒店
8163,
8172,台灣小吃/熱炒店
8178,台灣小吃/熱炒店
8180,台灣小吃/熱炒店
8183,
8186,日式
8192,台灣小吃/熱炒店
8198,台灣小吃/熱炒店
8202,異國料理
8232,中式
8234,台灣小吃/熱炒店
8236,台灣小吃/熱炒店
8253,火鍋
8254,台灣小吃/熱炒店
8259,早午餐
8267,意式
8282,日式
8288,酒吧/餐酒館
8296,
8301,早午餐
8311,台灣小吃/熱炒店
8332,
8334,日式
8335,美式
8349,台灣小吃/熱炒店
8353,
8354,意式
8357,酒吧/餐酒館
8370,
8373,美式
8381,
8385,早午餐
8386,
8388,
8389,日式
8395,酒吧/餐酒館
8401,
8403,早午餐
8407,
8412,
8415,
8418,台灣小吃/熱炒店
8419,台灣小吃/熱炒店
8423,
8424,台灣小吃/熱炒店
8433,
8439,早午餐
8448,火鍋
8454,
8459,
8460,
8465,
8475,
8491,中式
8494,台灣小吃/熱炒店
8496,
8498,台灣小吃/熱炒店
8501,
8511,異國料理
8515,
8520,台灣小吃/熱炒店
8536,日式
8540,
8543,台灣小吃/熱炒店
8547,台灣小吃/熱炒店
8549,日式
8554,
8557,異國料理
8561,台灣小吃/熱炒店
8569,
8572,台灣小吃/熱炒店
8574,台灣小吃/熱炒店
8576,中式
8582,港式
8584,
8591,
8594,中式
8608,
8611,台灣小吃/熱炒店
8615,台灣小吃/熱炒店
8620,異國料理
8622,中式
8624,台灣小吃/熱炒店
8630,台灣小吃/熱炒店
8638,台灣小吃/熱炒店
8639,台灣小吃/熱炒店
8641,台灣小吃/熱炒店
8643,台灣小吃/熱炒店
8645,中式
8662,咖啡甜點
8664,日式
8670,中式
8674,咖啡甜點
8691,
8703,中式
8713,中式
8717,中式
8719,台灣小吃/熱炒店
8720,
8724,台灣小吃/熱炒店
8726,中式
8759,早午餐
8761,意式
8781,台灣小吃/熱炒店
8794,中式
8795,
8807,中式
8817,港式
8827,台灣小吃/熱炒店
8828,台灣小吃/熱炒店
8829,台灣小吃/熱炒店
8844,台灣小吃/熱炒店
8846,台灣小吃/熱炒店
8853,
8854,台灣小吃/熱炒店
8857,台灣小吃/熱炒店
8862,日式
8865,意式
8866,異國料理
8868,
8870,意式
8877,台灣小吃/熱炒店
8878,意式
8885,
8889,台灣小吃/熱炒店
8891,
8898,
8916,早午餐
8924,台灣小吃/熱炒店
8925,台灣小吃/熱炒店
8934,台灣小吃/熱炒店
8935,酒吧/餐酒館
8936,台灣小吃/熱炒店
8952,台灣小吃/熱炒店
8955,
8957,
8962,台灣小吃/熱炒店
8974,中式
8975,
8976,日式
8984,日式
8992,異國料理
8994,
8995,台灣小吃/熱炒店
8997,
9003,意式
9009,日式
9019,火鍋
9021,火鍋
9022,台灣小吃/熱炒店
9034,酒吧/餐酒館
9035,意式
9038,港式
9047,南洋
9052,日式
9067,燒烤店
9069,中式
9075,
9095,台灣小吃/熱炒店
9096,日式
9097,台灣小吃/熱炒店
9107,
9124,台灣小吃/熱炒店
9125,
9126,早午餐
9134,咖啡甜點
9143,南洋
9148,台灣小吃/熱炒店
9154,台灣小吃/熱炒店
9165,異國料理
9169,台灣小吃/熱炒店
9178,南洋
9188,早午餐
9193,日式
9204,咖啡甜點
9205,中式
9206,
9210,早午餐
9211,台灣小吃/熱炒店
9212,台灣小吃/熱炒店
9237,台灣小吃/熱炒店
9240,
9241,
9242,異國料理
9243,台灣小吃/熱炒店
9249,
9251,台灣小吃/熱炒店
9254,中式
9258,台灣小吃/熱炒店
9281,台灣小吃/熱炒店
9282,中式
9284,
9285,台灣小吃/熱炒店
9287,台灣小吃/熱炒店
9288,台灣小吃/熱炒店
9305,中式
9308,台灣小吃/熱炒店
9309,
9313,中式
9315,台灣小吃/熱炒店
9317,中式
9320,
9321,台灣小吃/熱炒店
9325,異國料理
9331,台灣小吃/熱炒店
9335,意式
9336,
9348,異國料理
9350,南洋
9363,台灣小吃/熱炒店
9365,台灣小吃/熱炒店
9373,中式
9375,異國料理
9388,中式
9390,台灣小吃/熱炒店
9393,日式
9400,火鍋
9401,異國料理
9406,
9415,咖啡甜點
9436,南洋
9442,異國料理
9450,
9460,台灣小吃/熱炒店
9483,意式
9498,酒吧/餐酒館
9501,台灣小吃/熱炒店
9513,台灣小吃/熱炒店
9527,台灣小吃/熱炒店
9530,中式
9533,日式
9550,韓式
9559,異國料理
9579,台灣小吃/熱炒店
9602,台灣小吃/熱炒店
9615,
9634,日式
9641,日式
9646,日式
9659,台灣小吃/熱炒店
9670,中式
9684,
9688,台灣小吃/熱炒店
9690,咖啡甜點
9696,咖啡甜點
9704,日式
9709,
9710,台灣小吃/熱炒店
9718,日式
9720,
9730,日式
9732,咖啡甜點
9741,
9742,台灣小吃/熱炒店
9761,異國料理
9770,異國料理
9772,日式
9776,
9777,
9784,台灣小吃/熱炒店
9794,台灣小吃/熱炒店
9797,台灣小吃/熱炒店
9802,火鍋
9812,意式
9813,日式
9817,
9819,
9830,意式
9833,火鍋
9836,
9840,異國料理
9848,
9849,
9852,早午餐
9859,台灣小吃/熱炒店
